Transaction_Amount,Transaction_Hour,If_tran_amount_less_than_10k,Is_Business_Hour,Is_Night_Hour,Is_Round_Amount,anomaly_score
7939.6220822060195,7,1,0,0,0,0.22459373
6773.215795511487,11,1,1,0,0,0.29052827
47538.7284946325,5,0,0,1,0,-0.04641521
709.8574464101531,15,1,1,0,0,0.2604983
3835.3725761028554,12,1,1,0,0,0.29695287
1511.5394322668146,11,1,1,0,0,0.28572035
2066.38266670742,20,1,0,0,0,0.2514439
6490.14459410776,14,1,1,0,0,0.28968847
3825.1106760375214,16,1,1,0,0,0.2787968
892.5476216342305,10,1,1,0,0,0.25759348
5937.727728120934,7,1,0,0,0,0.24848911
4246.9249618251015,14,1,1,0,0,0.29611757
214.09601311050105,12,1,1,0,0,0.24849263
6809.672869869128,11,1,1,0,0,0.28938
9009.923428680142,22,1,0,1,1,0.0109116435
4277.717141003499,11,1,1,0,0,0.29690456
971.171666335866,11,1,1,0,0,0.27435476
5053.058158087834,11,1,1,0,0,0.29890284
4468.17465948893,5,1,0,1,0,0.1851942
1814.5253102392403,14,1,1,0,0,0.28276023
452.5246755508578,9,1,1,0,0,0.21822253
2220.1307258691704,15,1,1,0,0,0.27599567
3312.2913201234096,15,1,1,0,0,0.2886708
728.9401162743701,14,1,1,0,0,0.26928136
2164.045581623267,19,1,0,0,0,0.24916151
5811.924956334837,16,1,1,0,0,0.28399083
3826.610868725813,15,1,1,0,0,0.29138944
7332.709400858297,13,1,1,0,0,0.29333404
1686.0732240664358,10,1,1,0,0,0.2665303
2507.161518703596,5,1,0,1,0,0.17879534
3264.916687615217,10,1,1,0,0,0.2760562
6811.68189418217,14,1,1,0,0,0.28650922
486.0215284790498,15,1,1,0,0,0.24996889
5173.263720177513,16,1,1,0,0,0.28086993
8222.886172965778,14,1,1,0,0,0.28085482
3440.4599074669027,23,1,0,1,0,0.12107748
5453.317380601904,15,1,1,0,0,0.2982392
6561.533721625708,22,1,0,1,0,0.13297999
47336.5328179822,16,0,1,0,0,-0.0026925802
4857.934832264536,17,1,1,0,0,0.25715426
668.1218606702198,13,1,1,0,0,0.2713733
9655.531661217328,14,1,1,0,0,0.25519168
5055.679629629066,6,1,0,0,0,0.2227917
9465.202543263362,17,1,1,0,0,0.22291613
6925.625308461424,4,1,0,1,0,0.18068558
1615.9774063310824,10,1,1,0,0,0.26670885
6446.720417931558,14,1,1,0,0,0.29046845
8972.04523635216,2,1,0,1,0,0.16132635
7400.595250284709,20,1,0,0,0,0.24198154
6250.551848517346,11,1,1,0,0,0.29993835
2655.007559773632,23,1,0,1,0,0.10844809
4910.918888102472,17,1,1,0,0,0.25517565
1320.3861312802749,9,1,1,0,0,0.23549068
4677.8600321279,9,1,1,0,0,0.2642287
2652.98008491786,19,1,0,0,0,0.24971518
4309.333807647732,13,1,1,0,0,0.3013335
7790.992298697567,10,1,1,0,0,0.2721027
3380.0556132708025,12,1,1,0,0,0.29469982
2323.3631422828817,10,1,1,0,0,0.26982072
648.0068278733158,16,1,1,0,0,0.24378547
3116.0187979315056,11,1,1,0,0,0.2941681
109.33886773428011,13,1,1,0,0,0.24301845
3237.0340592964644,16,1,1,0,0,0.27340898
3859.160325378324,15,1,1,0,0,0.29104587
551.8769317280967,17,1,1,0,0,0.20347565
9775.842518956855,17,1,1,0,0,0.20655155
7190.904575069202,14,1,1,0,0,0.28355807
9534.980539216347,10,1,1,0,0,0.2399765
2542.5527171864032,21,1,0,0,0,0.2290692
6899.89449864882,10,1,1,0,0,0.2728116
49980.207588340665,12,0,1,0,0,0.010714531
4480.758051151167,3,1,0,1,0,0.1946724
4537.91032910191,19,1,0,0,0,0.26230988
8126.887073397384,15,1,1,0,0,0.28749216
6381.731351330457,9,1,1,0,0,0.25918484
1127.906083112072,18,1,0,0,0,0.22127679
1730.540976988568,13,1,1,0,0,0.28524518
5745.270406502034,10,1,1,0,0,0.28052926
2047.0164651996356,8,1,0,0,0,0.2207951
9511.699033832516,11,1,1,0,0,0.2643118
7416.023994823849,17,1,1,0,0,0.24701923
20200.146100043028,15,0,1,0,0,0.059606075
5124.83513859742,17,1,1,0,0,0.2540246
1507.0153884314375,20,1,0,0,0,0.23645717
6614.553856541214,10,1,1,0,0,0.27574933
7819.988028444619,19,1,0,0,0,0.23477173
7237.720088228033,13,1,1,0,0,0.29417396
4290.594591972502,13,1,1,0,0,0.3004671
3081.173136856124,16,1,1,0,0,0.27451319
4528.935019185377,9,1,1,0,0,0.26458576
3443.3674196782526,11,1,1,0,0,0.29433203
1448.7443438454889,16,1,1,0,0,0.2620031
7469.233019423944,11,1,1,0,0,0.2845282
341.80171422932824,9,1,1,0,0,0.20562792
3997.4260603954185,9,1,1,0,0,0.2627103
6595.346031204927,9,1,1,0,0,0.25931862
7819.446930815664,2,1,0,1,0,0.17976516
8692.327960169496,14,1,1,0,0,0.2739286
734.473544547101,8,1,0,0,0,0.19608873
2440.865156250837,21,1,0,0,0,0.23054811
6793.481686984721,20,1,0,0,0,0.24464679
6206.959565001472,13,1,1,0,0,0.30117378
2779.104381677498,17,1,1,0,0,0.24385315
32421.57409667084,17,0,1,0,0,0.03329277
9087.290159624452,9,1,1,0,0,0.22970834
4594.162048220341,11,1,1,0,0,0.29483274
5662.019989834738,20,1,0,0,0,0.24840695
8994.851425676234,13,1,1,0,0,0.28078112
5877.611851211783,2,1,0,1,0,0.193237
6274.432797068826,21,1,0,0,0,0.2327393
843.351999826803,9,1,1,0,0,0.22818035
2762.765710503032,11,1,1,0,0,0.2886006
498.5139717883886,18,1,0,0,0,0.21194863
343.95496149495807,19,1,0,0,0,0.21622694
5981.299951270786,11,1,1,0,0,0.2995929
5829.110359487633,19,1,0,0,0,0.25247172
7098.360249324134,2,1,0,1,0,0.18492174
6612.010670265454,9,1,1,0,0,0.25931862
3288.2756150557148,12,1,1,0,0,0.2965531
4215.866228422842,8,1,0,0,0,0.24099979
2753.561980505652,9,1,1,0,0,0.25310984
3178.3219386706464,9,1,1,0,0,0.25924048
430.8599435390517,17,1,1,0,0,0.19983548
3510.263838707832,9,1,1,0,0,0.25938758
2279.0593883113165,15,1,1,0,0,0.27784362
6620.4082593959365,10,1,1,0,0,0.27574933
7250.775352057072,19,1,0,0,0,0.24267074
1063.9322414401336,8,1,0,0,0,0.20936942
4593.738488340764,10,1,1,0,0,0.2793238
1595.3220707391315,21,1,0,0,0,0.21922258
3010.339543701441,7,1,0,0,0,0.23571932
6585.564600076422,12,1,1,0,0,0.29839385
32827.58646307392,17,0,1,0,0,0.031818867
4836.583102991066,20,1,0,0,0,0.25796792
1852.937246177772,16,1,1,0,0,0.26366594
1952.3431527935568,17,1,1,0,0,0.23339382
9365.406377938598,21,1,0,0,0,0.1849851
1420.688305344227,9,1,1,0,0,0.23602906
5406.817930440448,19,1,0,0,0,0.25578967
6666.112713380116,11,1,1,0,0,0.2912079
2000.8393310806744,20,1,0,0,1,0.081153214
9037.75755740548,16,1,1,0,0,0.25402054
3375.5595480163743,0,1,0,1,0,0.15517354
7160.410148720428,0,1,0,1,0,0.1642254
982.2427535164484,8,1,0,0,0,0.20725411
1131.7213229998335,21,1,0,0,0,0.21557322
7207.622349279188,16,1,1,0,0,0.2753458
8910.162878652089,13,1,1,0,0,0.28175017
8979.356369418305,15,1,1,0,0,0.27557182
2574.3439552897667,11,1,1,0,0,0.28980172
8302.976053839046,11,1,1,0,0,0.28077856
1657.8213035807632,16,1,1,0,0,0.26113558
7510.839172615254,16,1,1,0,0,0.26893154
6902.9327659173005,16,1,1,0,0,0.27462277
6713.374766912826,20,1,0,0,0,0.24505475
6573.888797839039,13,1,1,0,0,0.2973399
5266.134288620107,15,1,1,0,0,0.2971401
3821.739125876548,8,1,0,0,0,0.2344448
6413.326230129511,14,1,1,0,0,0.29046845
6519.549214354894,12,1,1,0,0,0.29752108
3489.369325505714,20,1,0,0,0,0.25849813
6669.680865924854,2,1,0,1,0,0.18773293
303.7659090341484,12,1,1,0,0,0.25005713
1514.0749939910013,9,1,1,0,0,0.23812458
4998.282094893808,21,1,0,0,0,0.24033374
8213.982650523765,1,1,0,1,0,0.16692972
5294.358077210517,11,1,1,0,0,0.297558
3969.5784534686895,9,1,1,0,0,0.2627103
5595.269355069812,7,1,0,0,0,0.2536492
8495.433317419722,19,1,0,0,0,0.229137
7770.323323199182,13,1,1,0,0,0.29540893
298.68478680171336,16,1,1,0,0,0.22737315
9041.505586543011,16,1,1,0,0,0.25402054
9098.246323884625,22,1,0,1,0,0.113906026
1946.346734448157,20,1,0,0,0,0.24984854
4234.485591592431,9,1,1,0,0,0.26245514
7044.139605403679,11,1,1,0,0,0.2863639
3852.651987803497,21,1,0,0,0,0.23658249
2965.739366820105,15,1,1,0,0,0.28313118
1761.1966823000373,16,1,1,0,0,0.26331952
7845.233115094386,15,1,1,0,0,0.2851603
9668.916053713285,22,1,0,1,0,0.10490787
1157.2201689193976,14,1,1,0,0,0.27877152
8177.146359421131,17,1,1,0,0,0.2431095
1220.875879042082,14,1,1,0,0,0.2793136
3348.6487002135614,13,1,1,0,0,0.29842284
4558.018468844068,8,1,0,0,0,0.24102986
1143.0073653612285,12,1,1,0,0,0.28648278
4594.04613096582,19,1,0,0,0,0.26230988
4649.9046353746,13,1,1,0,0,0.29872334
6789.971135605225,10,1,1,0,0,0.27341825
8313.61411489759,15,1,1,0,0,0.2836313
1403.8470679044472,11,1,1,0,0,0.28567392
1551.3375013252787,22,1,0,1,0,0.11125213
4730.338728249079,2,1,0,1,0,0.18974167
7409.908722378881,3,1,0,1,0,0.18788701
29255.3084699371,10,0,1,0,0,0.056307673
8785.985079178135,9,1,1,0,0,0.23569354
3225.838424218761,17,1,1,0,0,0.24759385
3723.3138026247534,13,1,1,0,0,0.2959652
3027.657309906641,7,1,0,0,0,0.23571932
1168.7202738491612,15,1,1,0,0,0.27150863
9192.444629856456,13,1,1,0,0,0.28341323
6722.652117220843,14,1,1,0,0,0.287671
2814.456288049485,23,1,0,1,0,0.114267826
5152.771208652895,4,1,0,1,0,0.18719
881.4211497679534,10,1,1,0,0,0.25759348
7064.22703945697,18,1,0,0,0,0.23841569
4331.491162322055,15,1,1,0,0,0.29398364
5199.887846542178,8,1,0,0,0,0.24186984
9231.176973911975,15,1,1,0,0,0.27176479
6805.00693436093,21,1,0,0,0,0.22809431
9669.702118370034,6,1,0,0,0,0.16284251
8791.653743647279,22,1,0,1,0,0.11734855
28212.736402477138,10,0,1,0,0,0.056307673
2578.3010640218986,10,1,1,0,0,0.27059025
5611.395877944891,16,1,1,0,0,0.28390592
9416.154923270837,7,1,0,0,0,0.19551271
5829.6080629137,15,1,1,0,0,0.29383466
4565.736560928833,8,1,0,0,0,0.24102986
3599.073526295821,7,1,0,0,0,0.23328969
6033.061918192398,17,1,1,0,0,0.25612247
3237.2109290419926,22,1,0,1,0,0.13203919
3892.00369092269,21,1,0,0,0,0.23658249
1061.9501118368378,10,1,1,0,0,0.262218
596.6857928174227,12,1,1,0,0,0.27067718
3416.24983401123,13,1,1,0,0,0.29733303
6373.820735713401,15,1,1,0,0,0.2885179
2192.9580229312214,12,1,1,0,0,0.28593278
2853.343896803768,15,1,1,0,0,0.28177297
4359.967076348129,3,1,0,1,0,0.19507396
6070.602731607777,18,1,0,0,0,0.24236038
4994.266596250854,10,1,1,0,0,0.28113598
2957.153846525292,11,1,1,0,0,0.29021788
39184.2659694137,5,0,0,1,0,-0.03269106
8135.709132304271,13,1,1,0,0,0.29054722
8508.669975228557,19,1,0,0,0,0.22848353
5402.785118544239,6,1,0,0,0,0.22071368
289.2302187602341,13,1,1,0,0,0.2479665
1485.7350421687306,15,1,1,0,0,0.27341256
8487.390484055855,9,1,1,0,0,0.23822331
1322.0302216567052,12,1,1,0,0,0.28834277
9510.060147534869,2,1,0,1,0,0.15024674
6417.783484487013,17,1,1,0,0,0.25560507
322.7703372165673,16,1,1,0,0,0.22737315
49441.11712785719,9,0,1,0,0,0.0012636781
5255.5534872402695,22,1,0,1,0,0.13281989
7095.054322792697,11,1,1,0,0,0.28536126
3450.879599432756,19,1,0,0,0,0.25946274
21421.002868613585,23,0,0,1,0,-0.01330471
2110.195799315695,2,1,0,1,0,0.16821992
6891.616332886576,23,1,0,1,0,0.1272192
8559.164645308383,14,1,1,0,0,0.27537668
20581.851449041667,14,0,1,0,0,0.059851944
7980.282332904283,12,1,1,0,0,0.29281777
6878.153877110851,3,1,0,1,0,0.18977398
9209.029965149237,9,1,1,0,0,0.22944975
6904.937486453646,21,1,0,0,0,0.2285546
6727.251369506884,11,1,1,0,0,0.29052827
9433.863159030028,16,1,1,0,0,0.24565083
6919.275604993848,5,1,0,1,0,0.17575037
7694.396872129225,19,1,0,0,0,0.24030933
1086.5731646380043,5,1,0,1,0,0.150716
9400.100022543907,21,1,0,0,0,0.18534136
4146.059559700056,7,1,0,0,0,0.24957395
884.4918510801654,17,1,1,0,0,0.2159167
8092.850095969055,11,1,1,0,0,0.2861388
2463.403781980552,6,1,0,0,0,0.19586617
2330.412289587276,23,1,0,1,0,0.106640935
2819.567371117724,19,1,0,0,0,0.25198677
3839.810759879264,15,1,1,0,0,0.29104587
4008.197293211857,11,1,1,0,1,0.10426992
3617.0121782280366,17,1,1,0,0,0.2500023
4343.721305744706,9,1,1,0,0,0.26390916
8732.977925027406,10,1,1,0,0,0.26025954
3302.570151382938,13,1,1,0,0,0.29795182
3664.139561953784,0,1,0,1,0,0.15884769
1440.9139547306445,23,1,0,1,0,0.0946089
7514.341273291669,8,1,0,0,0,0.22467732
8188.1964303269215,3,1,0,1,0,0.1751942
4805.579410972918,23,1,0,1,0,0.12387222
39968.68660363593,10,0,1,0,0,0.034009933
5108.217446109309,16,1,1,0,0,0.28338566
6123.811472422322,22,1,0,1,0,0.13377774
4061.701318635903,22,1,0,1,0,0.13598943
3360.525386821248,18,1,0,0,0,0.24532983
879.0282867592553,16,1,1,0,0,0.24877116
6132.898998242733,10,1,1,0,0,0.27982977
2770.955308549194,3,1,0,1,0,0.18700302
5896.732482654991,19,1,0,0,0,0.2513185
6327.634910900607,16,1,1,0,0,0.27616173
6525.975097860809,16,1,1,0,0,0.2761124
6264.003765862045,16,1,1,0,0,0.27620217
1480.849726594562,13,1,1,0,0,0.284207
8774.417958038457,10,1,1,0,0,0.26025954
343.38588602567614,6,1,0,0,0,0.16524708
9132.689551826415,5,1,0,1,0,0.15100694
7161.447550671184,16,1,1,0,0,0.27481186
4715.897888691266,14,1,1,0,0,0.29745606
3934.1056054376336,0,1,0,1,0,0.16292721
7145.344054080137,8,1,0,0,0,0.23197535
8765.22071177763,13,1,1,0,0,0.28299847
4803.097704460239,9,1,1,0,0,0.2635515
9602.215310767058,0,1,0,1,0,0.11844981
183.6613595222969,21,1,0,0,0,0.19105655
4074.070151202439,16,1,1,0,0,0.2812599
3333.2302449995386,15,1,1,0,0,0.2886708
802.9048712146958,17,1,1,0,0,0.21282142
46136.31023451172,13,0,1,0,0,0.01882881
4020.013566251205,23,1,0,1,0,0.12560761
3050.557325381871,16,1,1,0,0,0.27451319
2093.649718556692,9,1,1,0,0,0.24519384
5655.544381208714,9,1,1,0,0,0.2632484
3146.6241914968828,18,1,0,0,0,0.24382734
7025.732099689383,7,1,0,0,0,0.24250266
5839.369361102422,15,1,1,0,0,0.29383466
8117.4418365784,18,1,0,0,0,0.22540447
1557.880803602148,10,1,1,0,0,0.26707533
9991.15305224112,21,1,0,0,0,0.16428941
7532.072498448719,23,1,0,1,0,0.12427062
474.028830790633,14,1,1,0,0,0.25997964
5321.291534381427,2,1,0,1,0,0.19208127
7158.128475139372,9,1,1,0,0,0.2524072
9947.71619096895,5,1,0,1,0,0.12944251
2842.146978302864,19,1,0,0,0,0.2519242
238.08133603123147,2,1,0,1,0,0.12470138
3425.5309722980664,8,1,0,0,0,0.2330023
1308.7660387852552,11,1,1,0,0,0.28396562
7199.379144315854,20,1,0,0,0,0.24485677
4338.594884193095,20,1,0,0,0,0.26325688
1764.2010481198809,8,1,0,0,0,0.21758896
6726.246308908035,17,1,1,0,0,0.2527715
8634.201283310696,14,1,1,0,0,0.2735708
5089.789719429652,10,1,1,0,0,0.28340292
9623.41708102044,18,1,0,0,0,0.19231588
8934.551561030963,19,1,0,0,0,0.21821484
6034.065821481636,18,1,0,0,0,0.242306
4302.844238533774,11,1,1,0,0,0.29690456
6008.147361428286,17,1,1,0,1,0.10346365
3353.450334616798,9,1,1,0,0,0.25748593
4651.564394892501,3,1,0,1,0,0.19663596
4130.51939052607,19,1,0,0,0,0.26069903
8422.119274282868,17,1,1,0,0,0.23736376
4769.7526515950285,16,1,1,0,0,0.28450796
2723.694593989215,15,1,1,0,0,0.28138208
2448.528717130824,7,1,0,0,0,0.2251826
1004.0334441678814,11,1,1,0,1,0.09469992
6231.886785725899,6,1,0,0,0,0.21688917
4450.2677407742185,12,1,1,0,0,0.3025034
6963.975048094107,13,1,1,0,0,0.2961364
3563.2809111083143,15,1,1,0,0,0.2882149
6188.013370616741,15,1,1,0,0,0.29039782
1963.3105455137825,6,1,0,0,0,0.19319612
5744.283249202264,2,1,0,1,0,0.19257462
902.2764912698068,16,1,1,0,0,0.25015587
8484.144687795691,13,1,1,0,0,0.2833701
9883.880239976832,13,1,1,0,0,0.24902928
7827.47337079559,7,1,0,0,0,0.22363517
8032.77682955454,20,1,0,0,0,0.23471326
7251.553488973641,0,1,0,1,0,0.16299152
845.1840161349172,11,1,1,0,0,0.27355304
5489.89758071445,15,1,1,0,0,0.2982392
6304.71923501189,9,1,1,0,0,0.26145795
5533.291862470195,18,1,0,0,0,0.24590892
4576.318180977726,12,1,1,0,0,0.30183423
9048.231392314714,22,1,0,1,0,0.11350137
32157.669354185506,10,0,1,0,0,0.055706203
9771.3918419911,22,1,0,1,0,0.10458237
2301.1545557021377,3,1,0,1,0,0.17863333
8770.860986621243,17,1,1,0,0,0.22991854
5490.553158756633,15,1,1,0,0,0.2982392
19971.81400018445,21,0,0,0,0,0.029492557
5663.958591791051,2,1,0,1,0,0.19220841
2126.128399558054,12,1,1,0,0,0.2858731
2203.015596957987,13,1,1,0,0,0.28606007
8164.428275624183,15,1,1,0,0,0.28749216
9297.603555678494,15,1,1,0,0,0.2679564
41395.31933551177,16,0,1,0,0,0.014026821
4305.598493551192,11,1,1,0,0,0.29690456
4566.818268047601,15,1,1,0,0,0.29396147
8599.28245901975,7,1,0,0,0,0.2176401
5462.891785284609,17,1,1,0,0,0.25942418
6681.961160698971,10,1,1,0,0,0.27406308
3798.3224237276513,9,1,1,0,0,0.2616911
708.2568260046655,4,1,0,1,0,0.13949937
7110.195505499642,16,1,1,0,0,0.27481186
407.4320158720054,18,1,0,0,0,0.20735091
34197.6325279102,15,0,1,0,0,0.04453957
2522.4396949376155,11,1,1,0,0,0.2905363
4125.294979634322,17,1,1,0,0,0.25417554
8627.177238299528,15,1,1,0,0,0.27958104
1652.2889699310597,21,1,0,0,0,0.22193626
8155.7569000790845,16,1,1,0,0,0.26729897
5895.725303380537,7,1,0,0,0,0.24971989
5415.509812221901,11,1,1,0,0,0.298099
2824.107906345636,10,1,1,0,0,0.2714198
8692.130325009208,9,1,1,0,0,0.23569354
47922.131274115614,21,0,0,0,0,-0.027423263
3269.4733763741137,2,1,0,1,0,0.18369222
1897.6357986173127,10,1,1,0,0,0.26777622
6318.6171046240415,18,1,0,0,0,0.23973382
3471.640644988206,16,1,1,0,0,0.27254778
1810.7456893674207,21,1,0,0,0,0.2270211
4348.150820895428,2,1,0,1,0,0.18773085
5343.101607337691,20,1,0,0,0,0.25381795
6964.185645629403,1,1,0,1,0,0.18116814
440.2965208237279,17,1,1,0,0,0.20216125
6701.289285448887,9,1,1,0,0,0.25715867
6969.406996460042,21,1,0,0,0,0.22911224
7495.327766310257,10,1,1,0,0,0.26825348
6278.450038798577,23,1,0,1,0,0.12820011
9849.813244462326,10,1,1,0,0,0.2267383
2354.7778036746163,9,1,1,0,0,0.25248566
2601.111058493524,5,1,0,1,0,0.17876297
4085.45062812927,9,1,1,0,0,0.26536408
736.6959903932833,12,1,1,0,0,0.27516353
1765.7897476378491,12,1,1,0,0,0.28553864
6651.75523061634,9,1,1,0,0,0.2584128
5635.700286375967,15,1,1,0,0,0.29416323
1810.1246936644836,12,1,1,0,0,0.2867537
3268.2696258532837,15,1,1,0,0,0.28882524
5511.885055219125,16,1,1,0,0,0.28436527
3632.81426821882,12,1,1,0,0,0.2941825
7701.055278022842,9,1,1,0,0,0.24942693
1454.367627466799,1,1,0,1,0,0.14845198
6345.494801478489,3,1,0,1,0,0.19458824
2671.890953367093,17,1,1,0,0,0.24244958
4892.942348895385,3,1,0,1,0,0.19952536
5274.532278052359,8,1,0,0,0,0.24155182
1193.1650159065052,15,1,1,0,0,0.27341783
6788.387068947816,21,1,0,0,0,0.22809431
5935.005041909018,17,1,1,0,0,0.2570921
5176.947074079845,15,1,1,0,0,0.2966126
4321.920997947183,11,1,1,0,0,0.29690456
8559.858267740019,18,1,0,0,0,0.22047031
9062.066004723076,15,1,1,0,0,0.27504796
4860.331561223186,19,1,0,0,0,0.26149163
6650.012770870179,10,1,1,0,0,0.27412453
2600.3488801720846,16,1,1,0,0,0.26920184
3624.7101939804143,14,1,1,0,0,0.29136878
6146.11192357903,15,1,1,0,0,0.2918443
5486.131268376799,15,1,1,0,0,0.2982392
9048.514814537337,17,1,1,0,0,0.22908032
5745.523514974562,13,1,1,0,0,0.3018745
2390.436919494419,12,1,1,0,0,0.28979266
1291.479040902652,6,1,0,0,0,0.18379062
9518.806540040016,7,1,0,0,0,0.19251144
5147.04484053998,10,1,1,0,0,0.28340292
25457.73403723269,12,0,1,0,0,0.06524223
4104.416589795736,13,1,1,0,0,0.29996493
8668.202031021641,21,1,0,0,0,0.20798999
1830.727571250824,14,1,1,0,0,0.28145558
907.5101886269111,12,1,1,0,0,0.2806852
5369.8339648921565,14,1,1,0,0,0.2985217
8887.85234272504,7,1,0,0,0,0.20894587
3523.896380777319,16,1,1,0,0,0.27254778
9451.658371175896,10,1,1,0,0,0.24936244
1708.6970353795198,8,1,0,0,0,0.21666902
7709.996624958767,17,1,1,0,0,0.24554625
3414.076725675833,9,1,1,0,0,0.258218
5493.783810004966,13,1,1,0,0,0.29930934
